Country,Song Name,Popularity,Time Signature,Duration MS,Tempo,Valence,Liveness,Instrumentalness,Acousticness,Speechiness,Loudness,Key,Mode,Energy,Danceability,Tempo-Valence,Tempo-Liveness,Tempo-Instrumentalness,Tempo-Acousticness,Tempo-Speechiness,Tempo-Loudness,Tempo-Energy,Tempo-Danceability,Valence-Liveness,Valence-Acousticness,Valence-Speechiness,Valence-Loudness,Valence-Energy,Valence-Danceability,Liveness-Instrumentalness,Liveness-Acousticness,Liveness-Speechiness,Liveness-Loudness,Liveness-Energy,Liveness-Danceability,Instrumentalness-Acousticness,Instrumentalness-Loudness,Instrumentalness-Energy,Instrumentalness-Danceability,Acousticness-Speechiness,Acousticness-Loudness,Acousticness-Energy,Acousticness-Danceability,Speechiness-Loudness,Speechiness-Energy,Loudness-Energy,Loudness-Danceability,Energy-Danceability
1,Sesh Gaan ??? ??? Sumon Aurthohin Aushomapto-1 Original Track G Series World Music.wav,0.2272727272727273,0.0,0.0973320948505821,0.6958558558558557,0.4304562946673997,0.6525554369737933,0.0001079096045197,0.4248927172858195,0.2657450076804916,0.624000420875421,0.0,0.0,0.46288612263716,0.6110260336906583,0.29953553333432387,0.45408452208879085,7.508953020812277e-05,0.2956640854338441,0.18492021975892942,0.43421434692268024,0.32210201903147956,0.425186043624022,0.28089659546480494,0.18289774471401687,0.11439161133250408,0.26860490904093165,0.19925224520335147,0.26302000240779855,7.041699913102206e-05,0.2772660527954304,0.17341334961054722,0.4071948673161912,0.3020588560265968,0.39872836041737125,4.5850005085613486e-05,6.733563863679303e-05,4.994985843143329e-05,6.593557764679983e-05,0.11291311841850504,0.26513323441325265,0.19667694244120001,0.2596205117872005,0.16582499663816871,0.12300967621540505,0.28884113534297956,0.38128050218880993,0.28283547156543154
1,Arbovirus - Omanush.wav,0.2954545454545454,0.5,0.0955462986272931,0.1636773136773136,0.2523364485981308,0.335942132100083,0.0123917137476459,0.0002423475340181,0.2688172043010752,0.7468434343434345,0.9090909090909092,1.0,0.9331489165514062,0.4272588055130167,0.04130175204941558,0.05498610573317081,0.0020282424180729174,3.966679334440398e-05,0.04399927787024558,0.1222413270708725,0.15273530792202986,0.06993257353134837,0.08477044454861907,6.115311606064204e-05,0.06783237865541149,0.18845581988105353,0.23546748361577538,0.10781296961543411,0.004162898736758074,8.141474728723791e-05,0.0903070247580868,0.2508961756782817,0.3134840365931618,0.14353423408257754,3.0031012690001723e-06,0.009254670052692615,0.011563314257830937,0.005294468814078415,6.514718656400535e-05,0.00018099566461074012,0.00022614633879789505,0.00010354511790359859,0.20076436407081566,0.2508464829439263,0.6969161415911072,0.31909543366281495,0.3986960914515195
1,Black-Miththa.wav,0.2954545454545454,0.5,0.0760228333889327,0.0455773955773954,0.3545904343045629,0.214988734732598,0.0,0.0989642965991427,0.2211981566820276,0.4116687710437711,0.9090909090909092,1.0,0.3026740433379438,0.1424196018376722,0.0161613084922595,0.009798626607591345,0.0,0.004510534894137813,0.01008163588808746,0.018762790424722172,0.013795094604223183,0.006491114530930734,0.07623294881942039,0.035091792911735586,0.07843475044524892,0.14597380831403645,0.10732532047991958,0.0505006284691031,0.0,0.02127620890955124,0.04755511183025208,0.08850414821562393,0.06507150961362407,0.03061861000020153,0.0,0.0,0.0,0.0,0.021890719985063818,0.04074051035818033,0.02995392379775804,0.014094455717795199,0.09106037331843783,0.06695094046184931,0.12460145144778043,0.05862970246105771,0.04310671673878829
1,Anmone - Aushomapto - Aurthohin.wav,0.3181818181818182,0.5,0.1901116494680435,0.7573218673218675,0.4062671797691038,0.0692517490809913,2.8813559322033896e-05,0.0038503998425666,0.0491551459293394,0.735479797979798,0.0909090909090909,1.0,0.6622867680958968,0.5053598774885144,0.3076750192143265,0.05244586392932175,2.182113854995211e-05,0.002915991998708362,0.03722626690368621,0.5569949339835705,0.5015642519169492,0.3827200860891519,0.02813471279321196,0.0015642910850229338,0.019970122507851462,0.29880130330240273,0.2690653774727145,0.20531113219571856,1.9953893802997493e-06,0.00026664692375891056,0.003404079831938123,0.05093326242383514,0.04586451708383772,0.0349970554314351,1.109437242773427e-07,2.1191790789248416e-05,1.908283908072923e-05,1.4561216808991093e-05,0.00018926696614766667,0.002831891298352329,0.0025500688676103832,0.001945837592721252,0.03615261679777804,0.03255480273282437,0.4870985384038635,0.371681980602348,0.33469315998720656
1,Obocheton By Nemesis Album Agontuk 2 Official lyrical Video.wav,0.3409090909090909,0.5,0.1550964019926509,0.2901638001638,0.3380978559648159,0.0423336890786197,0.2598870056497175,0.0,0.0307219662058371,0.735111531986532,0.6363636363636364,1.0,0.7602581834946982,0.4226646248085757,0.09810375871398408,0.01228370409800505,0.07540980117251299,0.0,0.008914402462789534,0.21330275566544493,0.2205994036284492,0.12264197372926307,0.014312929512562463,0.0,0.010387030905217054,0.24853963285965766,0.257041661819263,0.14290200343995277,0.011001975692748623,0.0,0.0013005741652417696,0.03111998303322565,0.032184533559540755,0.017892952811177695,0.0,0.19104593486655633,0.1975812228291306,0.10984504373556205,0.0,0.0,0.0,0.0,0.022584071643211374,0.02335662622103522,0.5588745579740856,0.31070563985954486,0.32133423988443593
1,Abar Black Album Abar Bangla Band Song Official Art Track.wav,0.3409090909090909,0.5,0.0569594587053225,0.8648157248157248,0.5360087960417813,0.1568836712913554,0.0004161958568738,0.0127496449149775,0.4377880184331796,0.8456965488215489,0.0909090909090909,1.0,0.9193176579068696,0.1944869831546707,0.46354883545647707,0.13567546589958543,0.000359932721627617,0.011026093408289386,0.3786059624769301,0.7313716738432647,0.795040366658624,0.1681954013041302,0.08409102776749397,0.0068339218208373085,0.23465822868188577,0.45330078895052794,0.49276235099461135,0.10424673368653324,6.529433400261323e-05,0.002000211101922831,0.06868179157916478,0.13267597937755354,0.14422592925540004,0.03051183193568473,5.306349390225747e-06,0.000351975399792,0.00038261620037176455,8.094467660485847e-05,0.005581641783054664,0.010782330703296681,0.011720973702381345,0.002479639975807262,0.37023581630436464,0.4024662557656801,0.7774637705625489,0.16447697044461973,0.17879531784712466
1,Jare Ja Ure Ja Pakhi_Hasan (Ark).wav,0.3636363636363636,0.0,0.1719820973928615,0.5741769041769039,0.4546454095656954,0.0071149057274991,0.0,0.2006111651718816,0.0238095238095238,0.6548295454545456,0.0909090909090909,0.0,0.4156293222683264,0.5650842266462479,0.26104689376267154,0.0040852145441259554,0.0,0.1151862977617125,0.01367087867087866,0.3759880011726602,0.23864475754517236,0.32445831185494256,0.0032347592285001405,0.09120694535302147,0.010824890703945125,0.29771524688890005,0.18896396345019564,0.2569129496626976,0.0,0.0014273295280816884,0.0001694025173214071,0.004659050483490179,0.002957163445523485,0.004020521000684789,0.0,0.0,0.0,0.0,0.004776456313616227,0.13136611810261,0.08337988261984842,0.11336220512775541,0.015591179653679652,0.009895936244483958,0.272166360178549,0.37003384727829597,0.23486557414550135
1,Sraboner meghgulo jaro holo akashe ???????? ??????? ???? ??? ????? Different touch.wav,0.3636363636363636,0.5,0.0898119085325095,0.6651515151515149,0.8196811434854316,0.7284477647337839,0.0005951035781544,0.7664591177529179,0.1605222734254992,1.0,0.9090909090909092,0.0,0.9227754725680036,0.3813169984686064,0.5452121545304611,0.4845281344214107,0.0003958340466814872,0.5098114434750467,0.10677163338453656,0.6651515151515149,0.6137855037232628,0.25363357928442143,0.5970948967663947,0.6282520860745469,0.1315770806362943,0.8196811434854316,0.7563816545348507,0.3125583533351799,0.0004335018712916494,0.5583254310869411,0.11693209126679019,0.7284477647337839,0.6721937303433234,0.27776951518945203,0.00045612256348382605,0.0005951035781544,0.0005491469855583364,0.00022692311019976354,0.12303376006940078,0.7664591177529179,0.7072696745885039,0.2922638902304388,0.1605222734254992,0.14812601671790532,0.9227754725680036,0.3813169984686064,0.351869973460081
1,BISSHOY (???????) - Mechanix Official Music Video.wav,0.3636363636363636,0.5,0.1710854788724185,0.439172809172809,0.0185816382627817,0.1058935135776117,0.003879472693032,0.0888819148986078,0.0460829493087557,0.7668350168350169,0.0,0.0,0.3856615952051637,0.4410413476263399,0.008160550274898794,0.04650555183105872,0.0017037589207080659,0.03903452025068013,0.0202383783028944,0.33677308851551263,0.16937208615631846,0.1936933675984211,0.001967674963674143,0.0016515715907492777,0.0008562966941374044,0.014249050890062398,0.007166224253949697,0.008195270780522403,0.0004108109942935579,0.009412018262119853,0.004879885418323114,0.08120285426700696,0.04083906136822139,0.046703417933157985,0.00034481496175354305,0.002974915507872182,0.0014961636273495935,0.0017110078646144194,0.004095940778737681,0.06815776470760246,0.03427834108468669,0.039200599526491645,0.0353380192089869,0.01777242374217342,0.29573881585177114,0.3382059492319829,0.17009270967700937
1,Manush Pakhir Gaan Black Album Abar Official Lyrical Video.wav,0.3863636363636363,0.5,0.0888656845614196,0.3395741195741194,0.2589334799340297,0.0385390726906201,7.062146892655366e-05,0.0311654237353421,0.0360983102918586,0.8056607744107744,0.7272727272727273,1.0,0.6334716459197789,0.5880551301684531,0.08792710847686105,0.013086871678120312,2.3981223133765492e-05,0.010582971326083159,0.012258051935471258,0.273581548145942,0.21511057643837725,0.19968830308799668,0.009979056205212793,0.008069771621410737,0.009347061103609347,0.2086125479645271,0.16402701771754585,0.1522671612475764,2.7216859244788204e-06,0.0012010865307703264,0.0013911954043464984,0.03104941914899812,0.02441340980954912,0.022663099407654083,2.20094800390834e-06,5.6896947345393665e-05,4.473669815817647e-05,4.152931710229188e-05,0.0011250191363756342,0.025108759421455646,0.019742412269414505,0.018326987311441598,0.02908299262465923,0.022867256035506562,0.510363256818997,0.4737729515677447,0.3725162511993798
